SubjectCode;Name;Credits
LBT306;BIOSEGURIDAD;1
LBT307;BIOINFORMATICA;1
LBT320;GENÉTICA GENERAL;1
LBT325;REDACCIÓN CIENTÍFICA;1
LBT327;TRABAJO DE GRADO (PROYECTO INTEGRADOR PROFESIONALIZANTE);1
LFE202;FISICA MECANICA I;1
LFE305;TERMODINAMICA;1
LFE310;FISICA NUCLEAR Y DE PARTICULAS;1
LME204;ARITMETICA SUPERIOR;1
LME205;ALGEBRA SUPERIOR II;1
LME206;GEOMETRIA II;1
LME207;TRIGONOMETRIA I;1
LME213;CALCULO VECTORIAL;1
LME302;ANALISIS MATEMATICO II. PARA EDUCACION;1
LME304;ANALISIS MATEMATICO III PARA EDUCACION;1
LME305;VARIABLE COMPLEJA;1
LME306;CIENCIAS DE LA COMPLEJIDAD I;1
LME307;MATEMATICA DISCRETA;1
LQE304;QUIMICA ORGANICA I;1
LQE315;QUIMICA FISICA II;1
MGB501;ETICA DE INVESTIGACION;1
MMA501;HERRAMIENTAS DE MATEMATICA APLICADA;1
MMA531;SEMINARIO 1;;1
MMA532;SEMINARIO 2;;1
ASL203;LABORATORIO FARMACOLOGIA Y TERAPEUTICA;1
ASL204;LABORATORIO FARMACOLOGIA Y TERAPEUTICA II;1
ASL301;LABORATORIO DE SEMIOLOGIA CLINICA Y RELACION MEDICO-PACIENTE;1
ASL302;LABORATORIO SEMIOLOGIA QUIRURGICA;1
ASL303;LABORATORIO DERMATOLOGIA;1
ASL304;LABORATORIO NUTRICION;1
ASL305;LABORATORIO HEMATOLOGIA;1
ASL306;LABORATORIO NEUMOLOGIA;1
ASL307;LABORATORIO PATOLOGIA QUIRURGICA GENERAL I;1
ASL308;LABORATORIO IMAGENOLOGIA;1
ASL309;LABORATORIO INFECTOLOGIA;1
ASL310;LABORATORIO PATOLOGIA GENERAL PEDIATRICA;1
ASL311;LABORATORIO PATOLOGIA PEDIATRICA INFECCIOSA;1
ASL312;LABORATORIO PERINATOLOGIA;1
ASL313;LABORATORIO CRECIMIENTO Y DESARROLLO;1
ASL314;LABORATORIO TERAPEUTICA Y EMERGENCIA PEDIATRICA;1
ASL315;LABORATORIO PATOLOGIA QUIRURGICA II;1
ASL317;LABORATORIO REPRODUCCION HUMANA;1
ASL318;LABORATORIO PATOLOGIA GINECOBSTETRICIA;1
ASL319;LABORATORIO PATOLOGIA GINECOLOGICA;1
ASL320;LABORATORIO PATOLOGIA OBSTETRICA;1
ASL321;LABORATORIO DEMOGRAFIA Y FERTILIDAD;1
ASL322;LABORATORIO REUMATOLOGIA;1
ASL323;LABORATORIO PSIQUIATRIA;1
ASL324;LABORATORIO GASTROENTEROLOGIA;1
ASL325;LABORATORIO NEUROLOGIA;1
ASL326;LABORATORIO TRAUMATOLOGIA Y ORTOPEDIA;1
ASL327;LABORATORIO NEFROLOGIA;1
ASL328;LABORATORIO UROLOGIA;1
ASL329;LABORATORIO CARDIOLOGIA;1
ASL330;LABORATORIO OTORRINOLARINGOLOGIA;1
ASL331;LABORATORIO OFTALMOLOGIA;1
ASL332;LABORATORIO ANESTESIOLOGIA;1
ASL333;LABORATORIO ENDOCRINOLOGIA;1
ASL344;LABORATORIO EMERGENCIOLOGIA;1
ASL356;LABORATORIO IMAGENOLOGIA;1
ASM101;PROYECTO BIoINTEC I;1
ASM102;PROYECTO BIoINTEC II;1
ASM104;VIDA SALUDABLE;1
ASM105;SALUD AMBIENTAL;1
ASM106;NUTRICION DEPORTIVA;1
ASM107;NUTRICION SALUDABLE;1
ASM108;PRIMEROS AUXILIOS PARA LA VIDA;1
ASM203;FARMACOLOGIA Y TERAPEUTICA I;1
ASM204;FARMACOLOGIA Y TERAPEUTICA II;1
ASM208;SEMINARIO DE SOPORTE DE VIDA BASICO (BLS);1
ASM301;SEMIOLOGIA CLINICA Y RELACION MEDICO-PACIENTE;1
ASM302;SEMIOLOGIA QUIRURGICA;1
ASM303;DERMATOLOGIA;1
ASM304;NUTRICION;1
ASM305;HEMATOLOGIA;1
ASM306;NEUMOLOGIA;1
ASM307;PATOLOGIA QUIRURGICA GENERAL I;1
ASM308;IMAGENOLOGIA;1
ASM309;INFECTOLOGIA;1
ASM310;PATOLOGIA GENERAL PEDIATRICA;1
ASM311;PATOLOGIA PEDIATRICA INFECCIOSA;1
ASM312;PERINATOLOGIA;1
ASM313;CRECIMIENTO Y DESARROLLO;1
ASM314;TERAPEUTICA Y EMERGENCIA PEDIATRICA;1
ASM315;PATOLOGIA QUIRURGICA II;1
ASM316;ONCOLOGIA;1
ASM317;REPRODUCCION HUMANA;1
ASM318;PATOLOGIA GINECOBSTETRICIA;1
ASM319;PATOLOGIA GINECOLOGICA;1
ASM320;PATOLOGIA OBSTETRICA;1
ASM321;DEMOGRAFIA Y FERTILIDAD;1
ASM322;REUMATOLOGIA;1
ASM323;PSIQUIATRIA;1
ASM324;GASTROENTEROLOGIA;1
ASM325;NEUROLOGIA;1
ASM326;TRAUMATOLOGIA Y ORTOPEDIA;1
ASM327;NEFROLOGIA;1
ASM328;UROLOGIA;1
ASM329;CARDIOLOGIA;1
ASM330;OTORRINOLARINGOLOGIA;1
ASM331;OFTALMOLOGIA;1
ASM332;ANESTESIOLOGIA;1
ASM333;ENDOCRINOLOGIA;1
ASM334;INTERNADO MEDICINA SOCIAL O PASANTIA RURAL;1
ASM335;INTERNADO DE CIRUGIA;1
ASM336;INTERNADO PEDIATRIA;1
ASM337;INTERNADO GINECOSBTETRICIA;1
ASM339;RESILIENCIA Y TANATOLOGIA;1
ASM341;GERIATRIA;1
ASM343;SEXUALIDAD EN ATENCION PRIMARIA;1
ASM344;EMERGENCIOLOGIA;1
ASM345;MEDICINA FAMILIAR;1
ASM349;SEMINARIO DE SOPORTE DE VIDA AVANZADO (ACLS);1
ASM350;SEMINARIO DE PATOLOGIA CLINICA;1
ASM351;SEMINARIO DE SOPORTE DE VIDA PARA EL PACIENTE POLITRAUMATIZADO;1
ASM352;SEMINARIO DE GINECO-OBSTETRICIA;1
ASM356;IMAGENOLOGIA;1
MED203;BIOFISICA;1
MED204;ANATOMIA I;1
MED205;ANATOMIA II;1
MED206;BIOQUIMICA I;1
MED207;EMBRIOLOGIA;1
MED209;BIOQUIMICA II;1
MED210;HISTORIA DE LA MEDICINA;1
MED211;PARASITOLOGIA;1
MED213;MICROBIOLOGIA I;1
MED216;ANATOMIA PATOLOGICA I;1
MED217;MICROBIOLOGIA II;1
MED218;GENETICA;1
MED220;ANATOMIA PATOLOGICA II;1
MED225;TERAPEUTICA;1
MED227;ANATOMIA III;1
MED228;FISIOLOGIA I;1
MED229;FISIOLOGIA II;1
MED231;FISIOPATOLOGIA I;1
MED233;FISIOPATOLOGIA II;1
MED234;HISTOLOGIA;1
MED235;EPIDEMIOLOGIA Y MEDICINA PREVENTIVA;1
MED236;PSICOLOGIA CLINICA;1
MED237;SALUD PUBLICA;1
MED238;NUEVOS RETOS ETICOS DE LA MEDICINA;1
MED239;INTRODUCCION A LOS PRIMEROS AUXILIOS;1
MED303;BIOETICA;1
MED307;INMUNOLOGIA;1
MED331;MEDICINA FORENSE;1
MED344;INTERNADO MEDICINA SOCIAL O PASANTIA RURAL Y URBANA;1
MED345;INTERNADO MEDICINA INTERNA;1
MED346;INTERNADO DE CIRUGIA;1
MED347;INTERNADO DE PEDIATRIA;1
MED348;INTERNADO GINECO-OBSTETRICIA;1
MED349;INTERNADO PSIQUIATRIA;1
MNP504;EVALUACION NUTRICIONAL EN PEDIATRIA;1
MNP505;DIETOTERAPIA APLICADA EN PEDIATRIA I;1
MNP506;TERAPIA NUTRICIONAL ESPECIALIZADA EN PEDIATRIA I;1
MNP510;FUNDAMENTOS DE NUTRICION PEDIATRICA;1
MOD501;EDUCACION NUTRICIONAL;1
MOD502;FISIOPATOGENIA DE LA OBESIDAD;1
MOD503;OBESOLOGIA I;1
MOD505;FUNDAMENTOS DE ESTADISTICA;1
MOD508;SEMINARIO DE INVESTIGACION EN SALUD;1
MOD509;CLINICA DE LA OBESIDAD;1
MOD510;DIETETICA II;1
MOD511;METABOLISMO Y FISIOLOGIA DEL EJERCICIO;1
MPC507;TRASTORNOS DEL ESTADO DE ANIMO E INTERVENCION PSICOLOGICA;1
MPC508;PSICOFARMACOLOGIA;1
MPC514;RECURSOS HUMANOS EN SALUD;1
MPC515;HABILIDADES BASICAS DEL PSICOTERAPEUTA;1
MPC522;SEMINARIO DE INVESTIGACION II;1
MSP520;FUNDAMENTOS DE BIOÉTICA;1
MSP521;INTERNADO DE SALUD PÚBLICA;1
MSP522;TRABAJO FINAL (TESIS) / PROYECTO CAPSTONE;1
MSP529;ÉTICA DE LA INVESTIGACIÓN;1
ODO102;SEMINARIO BI0 INTEC II;1
ODO208;ANATOMIA II (CABEZA Y CUELLO);1
ODO215;ANATOMIA DENTAL;1
ODO217;PATOLOGIA GENERAL;1
ODO218;MATERIALES DENTALES;1
ODO219;SALUD PUBLICA;1
ODO220;ODONTOLOGIA COMUNITARIA II;1
ODO221;ERGONOMIA;1
ODO222;BIOSEGURIDAD;1
ODO224;ODONTOLOGIA SANITARIA;1
ODO229;FISIOLOGIA BUCAL;1
ODO230;OCLUSION;1
ODO231;DIAGNOSTICO CLINICO I;1
ODO232;RADIOGRAFIA I;1
ODO233;PERIODONCIA I;1
ODO234;OPERATORIA DENTAL I;1
ODO235;PROTESIS TOTAL I;1
ODO236;PATOLOGIA BUCAL II;1
ODO237;ODONTOLOGIA SOCIAL Y PREVENTIVA;1
ODO238;ODONTOLOGIA COMUNITARIA IV;1
ODO239;ANESTESIA;1
ODO247;HISTOLOGIA Y EMBRIOLOGIA;1
ODO251;INMUNOLOGIA BUCAL;1
ODO253;PATOLOGIA GENERAL;1
ODO254;ODONTOLOGIA COMUNITARIA II;1
ODO255;ERGONOMIA;1
ODO256;ODONTOLOGIA COMUNITARIA III;1
ODO257;FOTOGRAFIA ODONTOLOGICA;1
ODO258;OPERATORIA DENTAL I;1
ODO259;PROTESIS TOTAL I;1
ODO260;PERIODONCIA I;1
ODO261;ODONTOLOGIA COMUNITARIA IV;1
ODO262;FARMACOLOGIA ODONTOLOGICA;1
ODO302;DIAGNOSTICO CLINICO II;1
ODO303;RADIOGRAFIA II;1
ODO304;PERIODONCIA II;1
ODO305;OPERATORIA DENTAL II;1
ODO306;PROTESIS TOTAL II;1
ODO307;CLINICA INTEGRAL I;1
ODO309;ROTACION ODONTOLOGICA I;1
ODO310;CIRUGIA BUCAL II;1
ODO311;ANATOMIA PATOLOGICA;1
ODO312;PROTESIS FIJA I;1
ODO313;PROTESIS PARCIAL REMOVIBLE I;1
ODO314;CLINICA INTEGRAL II;1
ODO315;CASO CLINICO II;1
ODO316;ROTACION ODONTOLOGICA II;1
ODO317;PROTESIS FIJA II;1
ODO318;PROTESIS PARCIAL REMOVIBLE II;1
ODO319;ENDODONCIA I;1
ODO320;ODONTOPEDIATRIA I;1
ODO321;CLINICA INTEGRAL III;1
ODO322;CASO CLINICO III;1
ODO323;ROTACION ODONTOLOGICA III;1
ODO324;ENDODONCIA II;1
ODO325;ODONTOPEDIATRIA II;1
ODO326;ORTODONCIA I;1
ODO327;ODONTOLOGIA LEGAL Y FORENSE;1
ODO328;CLINICA INTEGRAL IV;1
ODO329;CASO CLINICO IV;1
ODO330;ROTACION ODONTOLOGICA IV;1
ODO331;ORTODONCIA II;1
ODO332;PROYECTO DE INVESTIGACION I;1
ODO333;GESTION EN ODONTOLOGIA;1
ODO334;ETICA PROFESIONAL;1
ODO335;CLINICA INTEGRAL V;1
ODO336;CASO CLINICO V;1
ODO337;ROTACION ODONTOLOGICA V;1
ODO340;CLINICA INTEGRAL VI;1
ODO343;INTERNADO DE ODONTOLOGIA SOCIAL RURAL URBANA;1
ODO344;SEMINARIO DE ACTUALIZACION ODONTOLOGICA;1
ODO345;SEMINARIO CASOS CLINICOS;1
ODO352;ODONTOLOGIA PARA LA EMBARAZADA Y EL BEBE;1
ODO354;PERIODONCIA II;1
ODO355;OPERATORIA DENTAL II;1
ODO356;PROTESIS TOTAL II;1
ODO357;ANATOMIA PATOLOGICA;1
SAN402;METODOLOGIA DE LA INVESTIGACION;1
SAN408;DIETOTERAPIA;1
SAN409;NUTRIOLOGIA CLINICA I;1
SAN410;NUTRIOLOGIA CLINICA II;1
SAN413;PROYECTO DE INTERVENCION;1
SAN415;NUTRICION Y METABOLISMO I;1
SAN416;ANTROPOLOGIA NUTRICIONAL;1
SAN501;FISIOPATOLOGIA NUTRICIONAL I;1
SAN502;BROMATOLOGIA;1
SAN503;EDUCACION COMUNITARIA I;1
SAN504;FISIOPATOLOGIA NUTRICIONAL II;1
SAN505;DIETOTERAPIA AVANZADA;1
SAN507;EDUCACION COMUNITARIA II;1
SAN508;NUTRICION Y MEDICINA CRITICA;1
SAN509;FARMACOLOGIA Y BIOQUIMICA CLINICA;1
ACS340;SEXO Y PODER (ELECTIVA);1
AHA101;AJEDREZ (ELECTIVA);1
AHA201;APRECIACION DE LAS ARTES I;1
AHA202;APRECIACION DE LAS ARTES II;1
AHC101;COMUNICACION EN LENGUA ESPAÑOLA I;1
AHC102;COMUNICACION EN LENGUA ESPAÑOLA II;1
AHC109;REDACCION;1
AHC110;ARGUMENTACIÓN LINGÜÍSTICA;1
AHC300;CREATIVIDAD E INNOVACION;1
AHC526;SUPERVISION Y ACOMPAÑAMIENTO PEDAGOGICO I;1
AHC527;PLANIFICACION EDUCATIVA Y PROYECTO DE CENTRO I;1
AHC528;ANALISIS Y GESTION CURRICULAR II;1
AHC532;GESTION DE LOS CONFLICTOS Y HABILIDADES DE NEGOCIACION;1
AHD101;EDUCACION FISICA Y DEPORTE;1
AHH202;RHETORIC AND COMPOSITION;1
AHH203;EFFECTIVE SPEECH;1
AHH204;HISTORIA, SOCIEDAD Y CULTURA DEL CARIBE (ELECTIVA);1
AHM201;METODOLOGIA DE LA INVESTIGACION;1
AHM202;METODOLOGIA DE INVESTIGACION EN SALUD;1
AHO101;ORIENTACION ACADEMICA E INSTITUCIONAL;1
AHO102;ORIENTACION ACADEMICA E INSTITUCIONAL;1
AHQ101;QUEHACER CIENTIFICO;1
AHS201;SOCIOLOGIA URBANA (ELECTIVA);1
CHH301;ETICA PROFESIONAL;1
CHH302;ETICA Y RESPONSABILIDAD SOCIAL EN LOS NEGOCIOS;1
CHH303;ETICA (SOCIALES);1
CSG201;HISTORIA, CIVILIZACIONES Y CULTURAS;1
CSG202;PROCESOS SOCIO-HISTORICOS DOMINICANOS;1
CSG203;PENSAMIENTO Y PROBLEMAS DE LA SOCIEDAD CONTEMPORANEA;1
CSG204;ANTROPOLOGIA SOCIAL;1
CSG209;INTRODUCCION A LA PSICOLOGIA;1
CSG210;DERECHOS HUMANOS (ELECTIVA);1
CSG301;SEXUALIDAD PARA LA VIDA;1
CSH102;COMPROMISO SOCIAL Y CIVICO;1
CSH103;INNOVACION Y EMPRENDIMIENTO;1
CSH105;PROYECTO INTEGRADOR DE ESTUDIOS GENERALES;1
CSH110;HISTORIA DOMINICANA;1
CSH112;CIUDADANIA Y ETICA;1
CSH113;PENSAMIENTO CREATIVO;1
CSH114;DESARROLLO DE HABILIDADES PARA EL TRABAJO EN EQUIPO Y EL LIDERAZGO;1
CSH115;DESARROLLO DE HABILIDADES COMUNICACIONALES PARA LA ORATORIA Y EL DEBATE;1
CSH116;ANTROPOLOGÍA DE GÉNERO;1
CSH117;DISCRIMINACIONES MÚLTIPLES Y DE GÉNERO;1
CSH118;LECTURA DRAMATIZADA;1
CSH119;VIOLENCIA Y SOCIEDAD;1
CSH120;FUNDAMENTOS DE LA ACTUACIÓN;1
CSH121;ESCRITURA CREATIVA;1
CSH122;TÉCNICAS DE IMPROVISACIÓN ACTORAL;1
CSH128;INTRODUCCIÓN AL VESTUARIO ESCÉNICO;1
CSH129;INTRODUCCIÓN A LA FILOSOFÍA;1
CSH211;PSICOLOGIA DEL APRENDIZAJE II;1
CSH217;PRACTICA DOCENTE III MANEJO EN EL AULA;1
CSH224;PEDAGOGIA SOCIAL;1
CSH226;INNOVACION EDUCATIVA;1
CSH237;IMPACTO SOCIAL (CSH);1
CSH304;ETICA PROFESIONAL DEL DOCENTE;1
CSH308;DIDACTICA DE LA HISTORIA;1
CSS101;SER HUMANO Y SOCIEDAD;1
CSS102;SER HUMANO Y SOCIEDAD: TEMAS SOCIALES CONTEMPORANEOS;1
CSS213;INTRODUCCION A LA SOCIOLOGIA;1
DCS601;SEMINARIO DE INVESTIGACIÓN I (FUNDAMENTOS DE INVESTIGACIÓN);1
DCS617;FILOSOFÍA DE LAS CIENCIAS SOCIALES;1
DCV601;SEMINARIO DE INVESTIGACIÓN I;1
DCV620;COMUNICACIÓN DIGITAL Y NUEVOS MEDIOS EMERGENTES;1
LCC205;ESTRUCTURA NARRATIVA;1
LCC207;ESCRITURA DEL GUION;1
LCC214;FUNDAMENTOS DE MONTAJE;1
LCC220;ESCRITURA NARRATIVA TRANSMEDIA Y SERIES WEB;1
LCC221;TEORIA Y PRACTICA DE LA PUESTA EN ESCENA;1
LCC222;HISTORIA Y FUNDAMENTOS DEL ARTE;1
LCC223;DRAMATURGIA;1
LCC224;FUNDAMENTOS DE FOTOGRAFÍA Y ESTÉTICA;1
LCC225;SEMIÓTICA;1
LCC226;HISTORIA DEL CINE;1
LCC227;HISTORIA Y ESTÉTICA DEL DOCUMENTAL;1
LCC228;ESTRUCTURAS NARRATIVAS EN EL CARIBE;1
LCC229;TALLER DE CÁMARA E ILUMINACION;1
LCC230;TÉCNICAS Y FLUJOS DE TRABAJO EN POSTPRODUCCIÓN DIGITAL;1
LCC231;DESARROLLO Y GESTIÓN DE PROYECTOS AUDIOVISUALES;1
LCC232;LEGISLACIÓN AUDIOVISUAL;1
LCC304;PROYECTO INTEGRADOR DE DOCUMENTAL 3 MINUTOS;1
LCC305;GUION TECNICO;1
LCC308;TECNICA DE ESTUDIO DE TV;1
LCC309;DISEÑO DE PRODUCCION;1
LCC310;DIRECCION Y SELECCION DE ACTORES;1
LCC311;REPORTAJE PARA TELEVISION;1
LCC312;ANTEPROYECTO DE GRADO;1
LCC313;PRODUCCION II;1
LCC314;MERCADEO, DISTRIBUCION Y VENTA DE CONTENIDOS AUDIOVISUALES;1
LCC315;PROGRAMACION DE CONTENIDOS AUDIOVISUALES;1
LCC316;ADMINISTRACION Y GESTION CULTURAL: PASANTIA PROFESIONAL;1
LCC317;PROYECTO FINAL DE GRADO (LCC);1
LCC318;ASISTENCIA DE DIRECCIÓN Y CONTINUIDAD;1
LCC322;PROYECTO INTEGRADOR FICCIÓN;1
LCC322L;PRÁCTICA DE PROYECTO INTEGRADOR FICCIÓN;1
LCC323;DIRECCIÓN DE FOTOGRAFÍA;1
LCC324;DISEÑO DE SONIDO;1
LCC325;MERCADEO Y PROGRAMACIÓN DE CONTENIDOS AUDIOVISUALES;1
LCC326;REPORTAJE DE TV;1
LCC327;MUSICALIZACIÓN Y MEZCLA DE SONIDO;1
LCC328;NUEVAS NARRATIVAS, FORMATOS DE PRODUCCIÓN Y DIFUSIÓN AUDIOVISUAL;1
LCC329;DIRECCIÓN DOCUMENTAL DE CREACIÓN;1
LCC330;ESCRITURA DEL GUION II: PROYECTO FINAL DE GRADO;1
LCC331;ANÁLISIS CINEMATOGRÁFICO;1
LCC341;DIRECCION Y SELECCION DE ACTORES;1
LEE217;PSICOLINGUISTICA;1
LII214;SOCIOLINGÜÍSTICA DEL INGLÉS;1
LII304;LINGUISTICA APLICADA DEL INGLES;1
LII336;CULTURAS Y SOCIEDADES ANGLÓFONAS I;1
LMD102;INTRODUCCIÓN A LOS GÉNEROS PERIODÍSTICOS;1
LMD201;TEORIAS DE LA COMUNICACION;1
LMD205;PERIODISMO DE INVESTIGACION Y DESARROLLO;1
LMD209;ETICA PERIODISTICA;1
LMD213;PRODUCCIÓN DE FOTOGRAFÍA EN ENTORNOS DIGITALES;1
LMD214;CONTEXTO SOCIAL, POLÍTICO Y CULTURAL DOMINICANO;1
LMD303;ESCRITURA PARA MEDIOS DE COMUNICACION II;1
LMD313;TALLER DE REDACCION Y COBERTURA DE MEDIOS;1
LMD318;FOTOPERIODISMO;1
LMD319;TALLER DE RADIO Y TELEVISION;1
LMD320;TALLER DE PERIODISMO PARA DIARIOS, COBERTURA PERIODISTICA, EDICION, DISEÑO Y PRODUCCION;1
LMD323;TALLER PERSPECTIVAS Y TENDENCIAS INTERNACIONALES;1
LMD329;PRACTICA EN EMPRESAS DE RADIO, TELEVISION O PRENSA, AGENCIA DIGITAL, AGENCIA PUBLICITARIA;1
LMD330;COBERTURA PERIODISTICA PARA MEDIOS AUDIOVISUALES (TELEVISION Y RADIO);1
LMD333;DIRECCION DE DOCUMENTAL DE CREACION;1
LMD334;ESCRITURA NARRATIVA TRANSMEDIA Y SERIES WEB;1
LMD335;TRABAJO DE GRADO;1
LMD336;TÉCNICAS Y REGISTRO SONORO;1
LMD342;COMUNICACIÓN DIGITAL;1
LMD343;PRODUCCIÓN AUDIOVISUAL I;1
LMD343L;PRÁCTICA PRODUCCIÓN AUDIOVISUAL I;1
LMD348;TÉCNICAS Y FLUJOS DE POSTPRODUCCIÓN DIGITAL;1
LMD349;INTELIGENCIA ARTIFICIAL APLICADA AL PERIODISMO Y LA COMUNICACIÓN;1
LMD350;INVESTIGACIÓN DE AUDIENCIA Y DEL CONSUMIDOR;1
LSE313;HISTORIA DE LOS MUNDOS ATLANTICOS;1
LSE314;HISTORIA DE LAS CIVILIZACIONES III. MODERNA;1
LSE315;HISTORIA DE LOS PUEBLOS DEL CARIBE;1
LSE321;HISTORIA DE AMERICA (REPUBLICANA Y CONTEMPORANEA);1
LSE322;HISTORIA DOMINICANA III. (1924-1966);1
LSE323;HISTORIA DEL PENSAMIENTO POLITICO;1
LSE324;GEOGRAFIA HUMANA;1
LSE325;HISTORIA DOMINICANA IV. (1966-ACTUALIDAD);1
LSE326;INSTITUCIONES POLITICAS DOMINICANAS;1
MEV507;EVALUACION DE APRENDIZAJES;1
MEV508;EVALUACION DE CENTROS EDUCATIVOS;1
MEV509;INTERVENCION EN CONTEXTO II;1
MEV510;SEMINARIO EVALUACION DEL DESEMPEÑO DOCENTE;1
MEV511;ANALISIS DE DATOS CUANTITATIVOS I;1
MEV512;ANALISIS DE DATOS CUALITATIVOS;1
MEV513;INTERVENCION EN CONTEXTO III;1
MGA501;ETICA Y RESPONSABILIDAD SOCIAL;1
MGA502;ESTADISTICA APLICADA;1
MGA503;METODOLOGIA DE LA INVESTIGACION;1
